dataset,best_genie_algorithm,genie_g,best_genie_ari,external_composite
fcps/atom,genie_g_0.1,0.1,1.0,1.0
fcps/chainlink,genie_g_0.1,0.1,1.0,1.0
fcps/engytime,genie_g_0.1,0.1,0.8124172785435686,0.8180851033908162
fcps/hepta,genie_g_0.1,0.1,1.0,1.0
fcps/lsun,genie_g_0.1,0.1,1.0,1.0
fcps/target,genie_g_0.9,0.9,1.0,1.0
fcps/tetra,genie_g_0.1,0.1,1.0,1.0
fcps/twodiamonds,genie_g_0.1,0.1,0.975125122351754,0.9713645758354907
fcps/wingnut,genie_g_0.1,0.1,1.0,1.0
graves/dense,genie_g_0.1,0.1,0.9602000804038779,0.9564417680862621
graves/fuzzyx,genie_g_0.1,0.1,0.6442604644058939,0.723660483296016
graves/line,genie_g_0.3,0.3,1.0,1.0
graves/parabolic,genie_g_0.1,0.1,0.8134185073633361,0.818626296217647
graves/ring,genie_g_0.1,0.1,1.0,1.0
graves/ring_noisy,genie_g_0.1,0.1,0.9208683107655166,0.9084806632967903
graves/ring_outliers,genie_g_0.9,0.9,1.0,1.0
graves/zigzag,genie_g_0.1,0.1,1.0,1.0
graves/zigzag_noisy,genie_g_0.3,0.3,0.7458456822217218,0.7700276073379453
graves/zigzag_outliers,genie_g_0.1,0.1,0.7663347646331574,0.8138163834975082
sipu/a1,genie_g_0.1,0.1,0.9371177919813078,0.9541666944380381
sipu/a2,genie_g_0.1,0.1,0.9490650046270829,0.963969192375988
sipu/a3,genie_g_0.1,0.1,0.9573626597722779,0.9702419985087203
sipu/aggregation,genie_g_0.5,0.5,0.8798629784332954,0.8914531594770346
sipu/compound,genie_g_0.7,0.7,0.7546033177801463,0.6564709589076999
sipu/d31,genie_g_0.1,0.1,0.9353310014073435,0.953100723174236
sipu/flame,genie_g_0.1,0.1,1.0,1.0
sipu/jain,genie_g_0.3,0.3,1.0,1.0
sipu/pathbased,genie_g_0.1,0.1,0.6132723080508014,0.7010345217159589
sipu/r15,genie_g_0.1,0.1,0.9856500959859545,0.9892725054468176
sipu/s1,genie_g_0.1,0.1,0.9879934658742926,0.9900198968271442
sipu/s2,genie_g_0.1,0.1,0.915229034538748,0.9346711327245109
sipu/s3,genie_g_0.1,0.1,0.6869067808397139,0.7609734374235416
sipu/s4,genie_g_0.1,0.1,0.6188039572125948,0.7017553205701095
sipu/spiral,genie_g_0.1,0.1,1.0,1.0
sipu/unbalance,genie_g_0.7,0.7,0.999976887161302,0.9993121135082221
uci/ecoli,genie_g_0.5,0.5,0.6611253389168691,0.5500363352386778
uci/glass,genie_g_0.3,0.3,0.24588896972380528,0.3566679868088099
uci/ionosphere,genie_g_0.1,0.1,0.2079104537842255,0.25011548494005176
uci/sonar,genie_g_0.5,0.5,0.006581874077350922,0.08068276674735121
uci/statlog,genie_g_0.1,0.1,0.6205271782333466,0.6808359960556798
uci/wdbc,genie_g_0.3,0.3,0.2829798784255069,0.3331824088193587
uci/wine,genie_g_0.1,0.1,0.35906129467464126,0.4535720607429532
uci/yeast,genie_g_0.3,0.3,0.18055405023800533,0.26030866923819496
