,ARI,NMI,NCA,CH Index,Dunnowa Index,Generalised Dunn Index,Negated Ball Hall Index,Negated DB Index,Negated WCSS Index,Silhouette,Silhouette W,WCNN Index
ARI,1.0,0.9600709134658605,0.97467162446701,-0.021800194092932476,0.04084238077893348,0.32656398026459676,-0.009328635098893394,-0.23933974724772752,0.15078954140496204,0.033933820292630874,0.028772911787551977,0.4557648630600322
NMI,0.9600709134658605,1.0,0.9630785594066128,0.007923766774884815,-0.009173395420179106,0.35364001275257256,0.05018222414498847,-0.2067870056647883,0.18311445166096735,0.01729960306736318,0.048947428078465215,0.48972208996514877
NCA,0.97467162446701,0.9630785594066128,1.0,-0.01327732843654419,0.0714854357212025,0.48129451420186836,0.06050779073063026,-0.14962462593351084,0.15647393183824673,0.11981720621555046,0.16214003483583964,0.6864503700124631
CH Index,-0.021800194092932476,0.007923766774884815,-0.01327732843654419,1.0,-0.654946906405533,-0.32079621072248726,0.6163765528184553,0.7403610413596502,0.4219302279578018,0.6758197853099467,0.4541323180144394,-0.1462705445501332
Dunnowa Index,0.04084238077893348,-0.009173395420179106,0.0714854357212025,-0.654946906405533,1.0,0.7496722651481945,-0.45146948102555445,-0.2844269701317254,-0.2621495098363088,-0.23943686923038035,-0.22927043035107816,0.10359261374973473
Generalised Dunn Index,0.32656398026459676,0.35364001275257256,0.48129451420186836,-0.32079621072248726,0.7496722651481945,1.0,-0.0648957380282269,0.0009452075934996335,-0.03162173401237981,0.0398311423139986,0.199870916783508,0.6924208818520335
Negated Ball Hall Index,-0.009328635098893394,0.05018222414498847,0.06050779073063026,0.6163765528184553,-0.45146948102555445,-0.0648957380282269,1.0,0.7049971347839157,0.79735408273287,0.5859095668764439,0.582885232319837,0.01565709915612905
Negated DB Index,-0.23933974724772752,-0.2067870056647883,-0.14962462593351084,0.7403610413596502,-0.2844269701317254,0.0009452075934996335,0.7049971347839157,1.0,0.5937578772743524,0.8262343536474295,0.7772833463005876,0.02964036037515659
Negated WCSS Index,0.15078954140496204,0.18311445166096735,0.15647393183824673,0.4219302279578018,-0.2621495098363088,-0.03162173401237981,0.79735408273287,0.5937578772743524,1.0,0.5500220933334826,0.48111038106430193,-0.14468459154340582
Silhouette,0.033933820292630874,0.01729960306736318,0.11981720621555046,0.6758197853099467,-0.23943686923038035,0.0398311423139986,0.5859095668764439,0.8262343536474295,0.5500220933334826,1.0,0.693808946257916,0.044272343599276696
Silhouette W,0.028772911787551977,0.048947428078465215,0.16214003483583964,0.4541323180144394,-0.22927043035107816,0.199870916783508,0.582885232319837,0.7772833463005876,0.48111038106430193,0.693808946257916,1.0,0.22087329241800216
WCNN Index,0.4557648630600322,0.48972208996514877,0.6864503700124631,-0.1462705445501332,0.10359261374973473,0.6924208818520335,0.01565709915612905,0.02964036037515659,-0.14468459154340582,0.044272343599276696,0.22087329241800216,1.0
