dataset,metric,spearman_with_ari,n_algorithms
fcps/atom,CH Index,-0.8900124949047554,19
fcps/atom,Dunnowa Index,0.36842105263157904,5
fcps/atom,Generalised Dunn Index,0.9824561403508768,19
fcps/atom,Negated Ball Hall Index,-0.9824561403508768,19
fcps/atom,Negated DB Index,-0.9912280701754383,19
fcps/atom,Negated WCSS Index,-0.9473684210526313,19
fcps/atom,Silhouette,-0.9444444444444442,19
fcps/atom,Silhouette W,-0.9912280701754383,19
fcps/atom,WCNN Index,0.9678362573099414,19
fcps/chainlink,CH Index,-0.9942238267148014,26
fcps/chainlink,Dunnowa Index,0.0,5
fcps/chainlink,Generalised Dunn Index,0.9855595667870035,26
fcps/chainlink,Negated Ball Hall Index,-0.9956678700361011,26
fcps/chainlink,Negated DB Index,-0.991335740072202,26
fcps/chainlink,Negated WCSS Index,-0.9942238267148014,26
fcps/chainlink,Silhouette,-0.9942238267148014,26
fcps/chainlink,Silhouette W,-0.991335740072202,26
fcps/chainlink,WCNN Index,0.9870036101083031,26
fcps/engytime,CH Index,0.921985815602837,12
fcps/engytime,Dunnowa Index,-0.4629629629629629,11
fcps/engytime,Generalised Dunn Index,-0.5390070921985816,12
fcps/engytime,Negated Ball Hall Index,-0.5673758865248227,12
fcps/engytime,Negated DB Index,-0.7021276595744682,12
fcps/engytime,Negated WCSS Index,0.921985815602837,12
fcps/engytime,Silhouette,0.8652482269503547,12
fcps/engytime,Silhouette W,-0.7446808510638298,12
fcps/engytime,WCNN Index,-0.6574074074074073,11
fcps/hepta,CH Index,0.5,20
fcps/hepta,Generalised Dunn Index,1.0,20
fcps/hepta,Negated Ball Hall Index,1.0,20
fcps/hepta,Negated DB Index,0.4714045207910317,20
fcps/hepta,Negated WCSS Index,1.0,20
fcps/hepta,Silhouette,1.0,20
fcps/hepta,Silhouette W,1.0,20
fcps/hepta,WCNN Index,,19
fcps/lsun,CH Index,-0.39830508474576276,15
fcps/lsun,Dunnowa Index,0.39830508474576276,15
fcps/lsun,Generalised Dunn Index,0.9576271186440679,15
fcps/lsun,Negated Ball Hall Index,-0.41525423728813565,15
fcps/lsun,Negated DB Index,0.8220338983050848,15
fcps/lsun,Negated WCSS Index,-0.39830508474576276,15
fcps/lsun,Silhouette,-0.04237288135593221,15
fcps/lsun,Silhouette W,-0.42372881355932207,15
fcps/lsun,WCNN Index,0.41525423728813565,15
fcps/target,CH Index,-0.5714467029606936,18
fcps/target,Dunnowa Index,0.942857142857143,6
fcps/target,Generalised Dunn Index,0.5032119914346896,18
fcps/target,Negated Ball Hall Index,-0.3533190578158458,18
fcps/target,Negated DB Index,-0.8286937901498931,18
fcps/target,Negated WCSS Index,-0.37044967880085655,18
fcps/target,Silhouette,-0.29978586723768735,18
fcps/target,Silhouette W,0.09207708779443255,18
fcps/target,WCNN Index,0.8857142857142858,6
fcps/tetra,CH Index,0.9534625892455921,12
fcps/tetra,Dunnowa Index,0.5058823529411764,9
fcps/tetra,Generalised Dunn Index,0.9999999999999999,12
fcps/tetra,Negated Ball Hall Index,0.976,12
fcps/tetra,Negated DB Index,1.0,9
